Date,Value
190012,52.77
190112,51.87
190212,51.59
190312,50.62
190412,51.16
190512,51
190612,51.73
190712,51.48
190812,52.08
190912,51.43
191012,52.42
191112,52.03
191212,50.23
191312,51.54
191412,51.84
191512,51.45
191612,50.85
191712,50.06
191812,51.87
191912,51.55
192012,51.07
192112,53.8
192212,52.03
192312,51.64
192412,50.59
192512,52.52
192612,51.95
192712,52.15
192812,51.92
192912,50.85
193012,51.98
193112,53.54
193212,51.73
193312,52.99
193412,54.1
193512,51.9
193612,52.15
193712,51.55
193812,53.18
193912,53.26
194012,51.89
194112,52.66
194212,51.84
194312,52.07
194412,51.83
194512,51.75
194612,52.95
194712,51.92
194812,51.61
194912,52.02
195012,51.39
195112,51.12
195212,52.27
195312,53.37
195412,53.33
195512,51.69
195612,52.34
195712,52.04
195812,51.93
195912,52.1
196012,51.44
196112,51.87
196212,51.9
196312,52.26
196412,51.67
196512,51.69
196612,51.49
196712,51.76
196812,51.32
196912,51.5
197012,51.61
197112,51.66
197212,51.37
197312,52.29
197412,52.26
197512,51.5
197612,51.47
197712,52.55
197812,51.04
197912,50.88
198012,52.39
198112,53.12
198212,51.34
198312,51.88
198412,51.97
198512,51.3
198612,53.32
198712,53.33
198812,52.63
198912,51.84
199012,53.51
199112,53.16
199212,52.6
199312,51.26
199412,52.87
199512,52.65
199612,51.88
199712,52.2
199812,54.23
199912,53.88
200012,53.27
200112,53.69
200212,53.21
200312,53.26
200412,53.1
200512,53.64
200612,54.25
200712,53.65
200812,52.29
200912,52.39
201012,52.98
201112,53.18
201212,55.28
201312,52.43
201412,52.54
201512,54.4
201612,54.92
201712,54.55
201812,53.52
201912,52.68
202012,54.37
