Date,Value
190012,64.59
190112,63.97
190212,63.38
190312,62.49
190412,63.38
190512,62.54
190612,63.32
190712,63.27
190812,64.19
190912,63.33
191012,64.93
191112,63.97
191212,61.97
191312,63.48
191412,63.74
191512,63.05
191612,63.12
191712,62.5
191812,63.93
191912,63.31
192012,62.7
192112,65.96
192212,64.05
192312,63.41
192412,62.92
192512,64.62
192612,63.87
192712,63.91
192812,63.92
192912,62.92
193012,64.19
193112,65.64
193212,63.76
193312,65.41
193412,66.76
193512,63.68
193612,64.6
193712,63.44
193812,65.22
193912,65.91
194012,63.73
194112,64.08
194212,63.85
194312,64.6
194412,63.83
194512,63.69
194612,65.15
194712,63.87
194812,63.84
194912,64.2
195012,63.61
195112,63.19
195212,64.7
195312,65.76
195412,65.78
195512,63.96
195612,64.92
195712,63.47
195812,63.73
195912,64.15
196012,63.43
196112,63.82
196212,63.96
196312,64.65
196412,63.91
196512,63.47
196612,63.64
196712,63.83
196812,63.21
196912,63.19
197012,63.55
197112,63.53
197212,63.08
197312,63.82
197412,64.32
197512,63.23
197612,64.07
197712,64.58
197812,62.77
197912,62.71
198012,64.44
198112,65.07
198212,62.83
198312,63.07
198412,63.59
198512,63.05
198612,64.9
198712,65.34
198812,65.18
198912,63.97
199012,65.63
199112,64.8
199212,64.13
199312,62.68
199412,64.8
199512,64.34
199612,63.71
199712,63.72
199812,65.63
199912,66.2
200012,65.31
200112,65.64
200212,65.19
200312,65.11
200412,64.61
200512,65.49
200612,66.41
200712,65.64
200812,64.45
200912,64.17
201012,64.66
201112,65.16
201212,67.69
201312,64.15
201412,64.34
201512,66.07
201612,66.69
201712,66.35
201812,65.09
201912,64.08
