Date,Value
190012,40.96
190112,39.77
190212,39.79
190312,38.75
190412,38.92
190512,39.45
190612,40.12
190712,39.69
190812,39.96
190912,39.54
191012,39.9
191112,40.09
191212,38.49
191312,39.6
191412,39.94
191512,39.84
191612,38.57
191712,37.62
191812,39.8
191912,39.78
192012,39.45
192112,41.63
192212,40.01
192312,39.87
192412,38.26
192512,40.41
192612,40.03
192712,40.38
192812,39.9
192912,38.78
193012,39.76
193112,41.43
193212,39.7
193312,40.57
193412,41.44
193512,40.11
193612,39.7
193712,39.66
193812,41.14
193912,40.61
194012,40.04
194112,41.23
194212,39.82
194312,39.54
194412,39.83
194512,39.8
194612,40.73
194712,39.95
194812,39.38
194912,39.84
195012,39.17
195112,39.04
195212,39.85
195312,40.96
195412,40.87
195512,39.41
195612,39.76
195712,40.63
195812,40.13
195912,40.06
196012,39.45
196112,39.91
196212,39.84
196312,39.85
196412,39.43
196512,39.89
196612,39.34
196712,39.69
196812,39.43
196912,39.81
197012,39.67
197112,39.78
197212,39.64
197312,40.75
197412,40.21
197512,39.77
197612,38.87
197712,40.52
197812,39.32
197912,39.06
198012,40.33
198112,41.17
198212,39.84
198312,40.68
198412,40.37
198512,39.55
198612,41.74
198712,41.32
198812,40.07
198912,39.69
199012,41.39
199112,41.51
199212,41.07
199312,39.83
199412,40.94
199512,40.96
199612,40.05
199712,40.68
199812,42.82
199912,41.55
200012,41.21
200112,41.74
200212,41.22
200312,41.4
200412,41.57
200512,41.78
200612,42.08
200712,41.67
200812,40.13
200912,40.6
201012,41.31
201112,41.19
201212,42.88
201312,40.7
201412,40.73
201512,42.71
201612,43.13
201712,42.74
201812,41.94
201912,41.27
